Student Id,Quiz ,Midterm,Assignment_1,Assignment_2,Assignment_3,Project,Presentation,Final_Exam,Total,Grade,Categories
320,4.1,4.09,3.67,4.01,3.34,6.34,7.01,36,68.56,B,Distinction
321,9.89,2.98,4.01,1.1,4.23,4.45,6.56,11,44.22,D+,Fail
322,8.01,3.45,3.56,2.54,3.45,9.23,8.23,30.5,68.97,B,Distinction
323,5.43,4.01,4.45,3.34,4.12,7.01,5.23,10,43.59,D+,Fail
324,7.01,2.32,3.21,4.56,3.67,5.89,9.45,35,71.11,B+,Distinction
325,6.34,3.78,4.12,1.78,4.23,8.67,7.34,38,74.26,B+,Distinction
326,4.23,4.23,3.78,2.32,3.56,6.45,6.01,10,40.58,D+,Fail
327,9.56,2.76,4.23,3.56,4.45,4.67,8.9,35,73.13,B+,Distinction
328,5.65,3.56,3.89,4.01,3.89,9.34,5.98,35,71.32,B+,Distinction
329,6.78,9.12,2.45,3.45,3.67,7.89,8.76,34,76.12,A-,Distinction
330,7.89,6.34,3.12,2.76,4.01,8.45,7.89,35,75.46,A-,Distinction
331,8.45,12.45,4.01,4.01,3.45,5.67,6.45,28,72.49,B+,Distinction
332,5.56,10.67,1.89,3.12,4.23,6.78,5.78,30,68.03,B,Distinction
333,9.23,5.23,2.34,2.32,3.12,4.32,9.23,34,69.79,B,Distinction
334,6.34,13.56,3.78,4.56,4.32,9.01,6.34,33,80.91,A,Excellent
335,8.01,7.78,1.56,3.01,3.56,7.12,8.01,31,70.05,B+,Distinction
336,5.45,14.23,4.23,2.89,4.01,8.9,5.56,37,82.27,A,Excellent
337,7.12,6.56,2.67,4.23,3.23,6.01,7.12,36,72.94,B+,Distinction
338,6.67,9.9,3.45,3.67,4.45,4.56,6.67,30,69.37,B,Distinction
339,5.34,14.01,1.23,2.54,3.89,9.12,5.34,39,80.47,A,Excellent
340,8.9,7.01,2.98,4.12,4.56,5.98,8.9,37,79.45,A-,Distinction
341,6.23,5.89,4.56,3.56,3.78,7.34,6.23,34,71.59,B+,Distinction
342,7.89,11.34,1.78,2.43,4.01,6.23,7.89,37,78.57,A-,Distinction
343,5.45,8.12,2.1,4.32,3.56,4.78,5.45,30,63.78,B-,Pass
344,9.01,13.45,3.56,2.1,4.12,9.45,9.01,34,84.7,A,Excellent
345,7.56,9.45,4.01,3.78,3.34,5.34,7.56,36,77.04,A-,Distinction
346,6.78,7.56,1.32,4.01,4.23,8.34,6.78,37,76.02,A-,Distinction
347,5.01,14.12,2.89,2.98,3.12,6.67,5.01,30,69.8,B,Distinction
348,8.45,4.67,3.01,3.23,4.56,4.23,8.45,35,71.6,B+,Distinction
349,6.01,10.01,4.45,4.45,3.01,9.67,6.01,38,81.61,A,Excellent
350,7.23,12.78,1.98,2.65,4.67,7.56,7.23,36,80.1,A,Excellent
351,5.89,5.56,2.43,3.34,3.56,6.12,5.89,35,67.79,B,Distinction
352,9.56,13.23,3.67,4.56,4.23,4.89,9.56,33,82.7,A,Excellent
353,6.45,8.34,4.12,2.21,3.78,8.01,6.45,23,62.36,B-,Pass
354,8.34,6.78,1.45,3.89,4.01,5.12,8.34,29,66.93,B,Distinction
355,5.12,11.45,2.76,4.23,3.23,7.23,5.12,21,60.14,B-,Pass
356,7.67,4.45,3.23,2.87,4.45,6.56,7.67,28,64.9,B-,Pass
357,6.12,12.34,4.32,3.56,3.89,4.01,6.12,34,74.36,B+,Distinction
358,8.56,7.23,1.67,4.32,4.56,8.56,8.56,30,73.46,B+,Distinction
359,5.67,9.56,2.21,2.01,3.12,5.45,5.67,32,65.69,B,Distinction
360,9.12,4.78,3.89,3.12,4.01,7.78,9.12,33,74.82,B+,Distinction
361,7.01,13.45,4.01,4.09,3.34,6.34,7.01,32,77.25,A-,Distinction
362,6.56,6.34,1.1,2.98,4.23,4.45,6.56,34,66.22,B,Distinction
363,8.23,11.12,2.54,3.45,3.45,9.23,8.23,34,80.25,A,Excellent
364,5.23,5.01,3.34,4.01,4.12,7.01,5.23,39,72.95,B+,Distinction
365,9.45,14.78,4.56,2.32,3.67,5.89,9.45,35,85.12,A,Excellent
366,7.34,7.89,1.78,3.78,4.23,8.67,7.34,37,78.03,A-,Distinction
367,6.01,10.89,2.32,4.23,3.56,6.45,6.01,33,72.47,B+,Distinction
368,8.9,4.23,3.56,2.76,4.45,4.67,8.9,36,73.47,B+,Distinction
369,5.98,8.01,4.01,3.56,3.89,9.34,5.98,30,70.77,B+,Distinction
370,6.78,10.78,3.45,3.67,2.89,7.89,8.76,37,81.22,A,Excellent
371,7.89,5.34,2.76,4.01,3.67,6.45,7.89,35,73.01,B+,Distinction
372,8.45,12.01,4.01,3.45,4.12,8.01,6.45,36,82.5,A,Excellent
373,5.56,8.56,3.12,4.23,2.43,5.67,5.78,33,68.35,B,Distinction
374,9.23,7.23,2.32,3.12,3.56,9.12,9.23,34,77.81,A-,Distinction
375,6.34,11.45,4.56,4.32,4.01,7.23,6.34,31,75.25,A-,Distinction
376,8.01,13.78,3.01,3.56,2.1,6.78,8.01,35,80.25,A,Excellent
377,5.45,5.89,2.89,4.01,3.23,5.34,5.56,29,61.37,B-,Pass
378,7.12,9.34,4.23,3.23,4.45,8.45,7.12,37,80.94,A,Excellent
379,6.67,14.01,3.67,4.45,2.98,6.01,6.67,39,83.46,A,Excellent
380,5.34,6.67,2.54,3.89,3.78,7.56,5.34,32,67.12,B,Distinction
381,8.9,9.12,4.12,4.56,4.56,9.34,8.9,37,86.5,A,Excellent
382,6.23,5.56,3.56,3.78,2.32,5.78,6.23,25,58.46,C+,Pass
383,7.89,7.89,2.43,4.01,3.45,8.9,7.89,30,72.46,B+,Distinction
384,5.45,13.23,4.32,3.56,4.23,6.23,5.45,32,74.47,B+,Distinction
385,9.01,4.78,2.1,4.12,2.76,4.67,9.01,33,69.45,B,Distinction
386,7.56,10.34,3.78,3.34,3.01,7.12,7.56,38,80.71,A,Excellent
387,6.78,6.12,4.01,4.23,4.32,8.56,6.78,34,74.8,B+,Distinction
388,5.01,14.45,2.98,3.12,2.54,5.23,5.01,25,63.34,B-,Pass
389,8.45,7.01,3.23,4.56,3.12,9.01,8.45,39,82.83,A,Excellent
390,6.01,11.89,4.45,3.01,4.01,6.34,6.01,30,73.72,B+,Distinction
391,7.23,5.12,2.65,4.67,2.65,7.89,7.23,34,71.44,B+,Distinction
392,5.89,8.23,3.34,3.56,3.89,5.12,5.89,31,66.92,B,Distinction
393,9.56,12.56,4.56,4.23,4.01,8.34,9.56,39,91.82,A+,Exceptional
394,6.45,6.01,2.21,3.78,2.21,6.56,1.45,14,42.67,D+,Fail
395,8.34,9.45,3.89,4.01,3.34,4.89,8.34,29,71.26,B+,Distinction
396,5.12,13.12,4.23,3.23,4.23,7.67,5.12,28,70.72,B+,Distinction
397,7.67,4.56,2.87,4.45,2.87,9.45,7.67,34,73.54,B+,Distinction
398,6.12,8.9,3.56,3.89,3.56,5.45,6.12,33,70.6,B+,Distinction
399,8.56,6.45,4.32,4.56,4.32,8.78,8.56,27,72.55,B+,Distinction
400,5.67,11.01,2.01,3.12,2.01,6.12,5.67,7,42.61,D+,Fail
401,9.12,7.56,3.12,4.01,3.12,7.01,9.12,30,73.06,B+,Distinction
402,7.01,9.78,4.09,3.34,4.09,9.23,7.01,2,46.55,C-,Pass
403,6.56,5.45,2.98,4.23,2.98,5.56,6.56,7,41.32,D+,Fail
404,8.23,12.34,3.45,3.45,3.45,8.23,8.23,33,80.38,A,Excellent
405,5.23,10.45,4.01,4.12,4.01,6.89,5.23,34,73.94,B+,Distinction
406,9.45,6.56,2.32,3.67,2.32,4.56,9.45,38,76.33,A-,Distinction
407,7.34,8.34,3.78,4.23,3.78,7.34,7.34,10,52.15,C,Pass
408,6.01,14.23,4.23,3.56,4.23,9.56,6.01,29,76.83,A-,Distinction
409,8.9,4.23,2.76,4.45,2.76,5.01,8.9,34,71.01,B+,Distinction
410,5.98,9.01,3.56,3.89,3.56,8.12,5.98,34,71.01,B+,Distinction
